0.1 0.3703
0.3 0.3705
0.5 0.3715
0.7 0.3738
0.9 0.3779
1.1 0.3837
1.3 0.3912
1.5 0.3999
1.7 0.4092
1.9 0.4184
2.1 0.4265
2.3 0.4333
2.5 0.4386
2.7 0.4425
2.9 0.4450
3.1 0.4462
3.3 0.4465
3.5 0.4464
3.7 0.4462
3.9 0.4459
4.1 0.4455
4.3 0.4449
4.5 0.4441
4.7 0.4431
4.9 0.4421
5.1 0.4407
5.3 0.4394
5.5 0.4380
5.7 0.4365
5.9 0.4350
6.1 0.4335
6.3 0.4321
6.5 0.4308
6.7 0.4297
6.9 0.4285
7.1 0.4271
7.3 0.4255
7.5 0.4236
7.7 0.4215
7.9 0.4196
8.1 0.4179
8.3 0.4166
8.5 0.4156
8.7 0.4150
8.9 0.4145
9.1 0.4142
9.3 0.4140
9.5 0.4142
9.7 0.4146
9.9 0.4152
10.1 0.4158
10.3 0.4165
10.5 0.4175
10.7 0.4188
10.9 0.4204
11.1 0.4223
11.3 0.4251
11.5 0.4285
11.7 0.4320
11.9 0.4356
12.1 0.4397

